Customer_ID,Age,Gender,Occupation,Income_Bracket,Family_Size,Marital_Status,Education_Level,Region,Monthly_Revenue,CLTV,Avg_Monthly_Data_Usage_GB,Avg_Call_Duration_Minutes,Monthly_Transactions,Churn_Status,Subscription_Type,Retention_Offers_Availed,Feedback_Score,Preferred_Product_Type,Peak_Usage_Time,Last_Interaction_Days,Number_of_Complaints,Payment_Method,Bill_Payment_Timeliness,Outstanding_Balance,Loyalty_Points,Campaign_Responses,Social_Media_Activity,Network_Complaints,Service_Downtime_Impact
CUST_00011,53,Female,Retired,<$50K,3,Single,PhD,East,496.53344956355687,9356.998296877884,63.10707584345297,51.989245264011366,25,No,Corporate Plan,1,8,Voice-Data Plan,Evening,97,2,Credit Card,Late by >5 Days,428.58094570536673,471,4,Moderate,7,High
CUST_00012,43,Female,Unemployed,>$100K,5,Single,PhD,North,106.60519854536368,2022.0996387098667,62.8726055619943,9.785298428777466,30,No,Postpaid,2,4,Voice-Data Plan,Evening,86,6,Net Banking,Late by >5 Days,281.60130709134677,610,8,High,2,Low
CUST_00013,61,Female,Unemployed,<$50K,4,Divorced,PhD,South,896.4553816192101,3544.3551073559915,23.23058267969235,39.667914999707776,11,No,Corporate Plan,2,10,Data-Only Plan,Afternoon,294,9,Net Banking,On Time,141.73243419912086,161,0,Moderate,3,Low
CUST_00014,49,Male,Retired,<$50K,2,Married,Bachelor’s,South,206.2012706320835,14173.668609905077,61.291901527147196,10.653131106410605,37,Yes,Postpaid,3,7,Voice Plan,Afternoon,95,5,Net Banking,Late by >5 Days,353.7664279149586,649,7,Moderate,8,Low
CUST_00015,19,Female,Student,<$50K,5,Divorced,Bachelor’s,North,88.03218162219295,4052.3669281599823,39.567547758909,6.288532628100055,19,Yes,Prepaid,0,10,Voice Plan,Afternoon,192,3,Credit Card,Late by <5 Days,236.65156205351894,147,2,Low,8,Low
CUST_00016,22,Male,Professional,<$50K,3,Married,PhD,East,392.0666449486952,4489.707740209838,188.85922558276505,58.36299732293662,3,Yes,Postpaid,2,7,Voice Plan,Afternoon,316,6,Debit Card,Late by >5 Days,458.7757069800507,240,9,Low,2,Medium
CUST_00017,49,Male,Professional,<$50K,5,Divorced,PhD,West,561.955228798847,18147.1830472331,176.00865729394732,19.384120411919845,9,Yes,Family Plan,0,7,Voice-Data Plan,Morning,335,1,Credit Card,Late by <5 Days,223.66487649459077,491,3,High,2,Medium
CUST_00018,23,Female,Professional,<$50K,1,Married,PhD,West,710.330213521093,6751.481528775841,23.599976647194186,33.235765234439086,12,Yes,Prepaid,0,2,Data-Only Plan,Morning,150,3,Net Banking,Late by <5 Days,319.0623943399022,415,7,Low,1,Low
CUST_00019,35,Female,Retired,<$50K,2,Married,Bachelor’s,East,641.3151656647165,8795.262455102638,53.482177568966605,21.496072245576514,35,No,Family Plan,1,6,Voice Plan,Night,75,1,Net Banking,Late by >5 Days,324.05658433734715,874,2,Low,3,Low
CUST_00020,35,Female,Student,>$100K,2,Married,PhD,West,960.7907782762544,19816.26701285556,129.3529451014128,31.835431895392468,29,No,Family Plan,2,4,Voice-Data Plan,Morning,332,8,UPI,Late by <5 Days,64.87596729930334,463,4,Moderate,2,High
CUST_00021,56,Male,Retired,$50K–$100K,4,Divorced,Master’s,East,694.7680598645467,3472.325522428766,173.8223427026813,59.3779565379989,6,No,Postpaid,0,4,Voice Plan,Evening,326,4,Net Banking,Late by <5 Days,401.82212729282793,890,3,High,9,Medium
CUST_00022,61,Male,Retired,>$100K,5,Single,Bachelor’s,West,427.13555043673733,11997.299735674642,46.3861198747862,11.528610528391074,37,No,Family Plan,2,5,Voice Plan,Morning,345,6,Net Banking,Late by <5 Days,25.87641795196832,764,6,Moderate,3,Low
CUST_00023,34,Male,Unemployed,<$50K,2,Divorced,High School,East,257.85220652014493,6503.079095173707,38.56746572210939,46.00175017255634,28,No,Postpaid,0,6,Voice-Data Plan,Evening,135,7,Credit Card,Late by <5 Days,12.739285130270062,106,1,Low,8,Medium
CUST_00024,32,Male,Professional,>$100K,1,Divorced,High School,South,766.689484409014,18673.32525014552,91.02690670097175,44.04997006673654,26,Yes,Family Plan,2,2,Voice Plan,Afternoon,220,9,Net Banking,On Time,362.13930107288735,741,8,Moderate,3,High
CUST_00025,58,Female,Unemployed,$50K–$100K,5,Married,Master’s,East,237.46475933073697,10367.67198300971,125.0661439759736,23.584204054061807,16,No,Prepaid,4,9,Data-Only Plan,Evening,190,1,Debit Card,Late by <5 Days,451.57267230520415,314,1,Low,7,Medium
CUST_00026,25,Female,Professional,>$100K,5,Divorced,PhD,South,608.6465167099904,1415.6859768565182,133.4854689372887,24.721063463864798,49,No,Prepaid,3,3,Voice Plan,Evening,197,1,Net Banking,Late by >5 Days,147.60111634731288,60,5,Moderate,5,Low
CUST_00027,32,Female,Professional,$50K–$100K,5,Divorced,Master’s,West,744.3552014400261,18597.605547426203,20.034721390106988,53.86289017563298,26,No,Postpaid,2,6,Voice Plan,Morning,117,0,Credit Card,Late by >5 Days,288.8947112892422,780,1,Moderate,0,Low
CUST_00028,56,Female,Unemployed,>$100K,3,Single,Bachelor’s,West,520.3847169321268,13578.339093491804,181.88132685323188,52.009105705238234,13,No,Postpaid,3,9,Data-Only Plan,Evening,332,1,Debit Card,Late by <5 Days,69.24764795481664,659,7,Moderate,9,Medium
CUST_00029,38,Female,Unemployed,<$50K,5,Divorced,High School,South,251.51860991447967,4598.26184342866,13.334648136615304,36.19755298235219,40,No,Family Plan,1,4,Data-Only Plan,Night,216,3,Debit Card,On Time,10.16084053132349,628,6,Low,8,High
CUST_00030,59,Male,Unemployed,$50K–$100K,1,Divorced,PhD,South,397.75359639909976,5897.008201777757,177.80924229843302,12.346431004210157,15,No,Family Plan,2,9,Data-Only Plan,Morning,178,3,Debit Card,Late by <5 Days,127.69840695748464,723,4,Low,7,Low
CUST_00031,24,Male,Professional,>$100K,1,Divorced,Bachelor’s,South,269.3974562437143,1097.0910325145983,39.07705306258221,50.468003601171446,17,No,Corporate Plan,0,5,Voice-Data Plan,Morning,71,8,Credit Card,Late by <5 Days,19.12857369389448,894,1,High,8,Medium
CUST_00032,57,Female,Unemployed,$50K–$100K,1,Single,High School,West,475.8683751205415,13539.043538204649,25.045115077975645,50.05415016521904,11,Yes,Prepaid,2,4,Voice Plan,Night,247,2,Net Banking,Late by <5 Days,470.7376627431723,422,7,Moderate,0,Medium
CUST_00033,26,Male,Student,<$50K,5,Married,High School,North,694.2944905512348,16213.416746125165,5.925891532805476,33.02662330192122,21,Yes,Prepaid,1,10,Voice-Data Plan,Morning,359,6,UPI,Late by <5 Days,384.1964218415823,112,3,Moderate,7,Medium
CUST_00034,40,Male,Retired,<$50K,1,Divorced,PhD,East,181.26886933985753,7229.194291931432,58.55033948043215,32.51723573514735,45,Yes,Family Plan,3,4,Voice-Data Plan,Evening,333,8,UPI,Late by >5 Days,425.79988365556153,213,0,High,5,Low
CUST_00035,54,Male,Unemployed,$50K–$100K,5,Married,Bachelor’s,East,722.3390931917905,16182.97658633509,167.11029938030347,28.361920138868147,39,No,Family Plan,3,10,Voice Plan,Evening,349,1,Credit Card,Late by <5 Days,187.41727347006827,785,8,High,8,Medium
CUST_00036,49,Male,Retired,<$50K,1,Single,Master’s,West,879.4587956409327,8077.4566065598665,143.68787558097,40.26026463791237,8,No,Corporate Plan,4,9,Voice Plan,Afternoon,95,6,Credit Card,On Time,387.0611734674551,731,9,Low,9,Medium
CUST_00037,58,Female,Professional,>$100K,1,Married,PhD,East,644.539942902924,2508.741063685886,121.88779923972612,58.910399759917496,3,No,Family Plan,3,8,Voice Plan,Morning,248,4,UPI,Late by <5 Days,281.5038994929722,196,1,Moderate,6,Low
CUST_00038,64,Male,Retired,>$100K,5,Single,PhD,West,573.3336199185984,17115.48537414989,175.05278487814573,52.59997076796759,49,No,Prepaid,4,9,Data-Only Plan,Morning,327,1,UPI,Late by >5 Days,407.01684902679466,759,5,High,6,Low
CUST_00039,21,Female,Retired,$50K–$100K,4,Single,High School,North,160.46770516435953,16970.767362985614,196.93838615901672,48.86014352407797,16,Yes,Postpaid,1,3,Voice-Data Plan,Evening,9,4,Credit Card,Late by >5 Days,301.1748532192348,673,0,Moderate,1,Medium
CUST_00040,36,Male,Unemployed,<$50K,5,Single,High School,North,279.87225441229083,16637.110080554085,95.61230875672963,56.11845310751117,36,No,Postpaid,0,8,Voice-Data Plan,Night,188,0,Net Banking,On Time,413.0605190655937,778,8,Low,2,Low
CUST_00041,57,Male,Retired,<$50K,3,Divorced,PhD,South,500.6793907620808,19857.877104596977,53.769415771197856,53.30230426521307,34,No,Prepaid,3,6,Voice Plan,Morning,324,7,Net Banking,On Time,178.0710653280521,512,2,Low,4,High
CUST_00042,53,Male,Retired,>$100K,2,Single,Bachelor’s,West,574.2847674777954,11569.098425158718,143.62775523067444,41.712423282644764,46,No,Corporate Plan,1,6,Data-Only Plan,Night,56,9,Debit Card,Late by >5 Days,223.52886305297852,579,0,Moderate,6,Low
CUST_00043,37,Male,Unemployed,<$50K,1,Married,Master’s,West,215.23802227730386,12974.156009233351,140.7652824185144,1.151902640393963,38,No,Prepaid,2,8,Voice Plan,Morning,331,6,UPI,On Time,274.0244590420475,536,2,Moderate,2,Medium
CUST_00044,20,Female,Professional,<$50K,4,Single,PhD,South,611.5248994201954,15631.509400413004,185.10896015381914,55.68457289056167,27,No,Postpaid,2,8,Data-Only Plan,Evening,30,2,Debit Card,On Time,438.6322103385278,177,5,High,3,Low
CUST_00045,35,Female,Retired,$50K–$100K,1,Single,Bachelor’s,East,205.50728502523856,6961.491548271487,165.12865514909885,3.591422310489298,37,No,Corporate Plan,4,4,Voice Plan,Afternoon,273,9,UPI,Late by >5 Days,402.1101116413054,322,6,High,1,Low
CUST_00046,61,Male,Retired,$50K–$100K,3,Single,Bachelor’s,East,275.96399642999046,9785.41940862145,188.10594220576112,13.520549095518628,5,No,Prepaid,1,6,Voice Plan,Evening,62,1,Debit Card,Late by >5 Days,319.74300513347805,612,1,High,9,Low
CUST_00047,31,Male,Unemployed,<$50K,4,Married,High School,South,723.4422706066808,7724.566999245197,151.64403825904674,21.61282706903482,20,No,Family Plan,4,9,Voice Plan,Evening,60,3,Debit Card,On Time,428.11584804021817,307,0,Low,3,Medium
CUST_00048,46,Male,Professional,<$50K,2,Divorced,PhD,West,910.7778644825573,8773.278968865678,37.5665496292016,12.897765466015883,39,No,Family Plan,3,4,Voice-Data Plan,Afternoon,319,9,Credit Card,Late by >5 Days,168.99349179803613,946,0,Low,5,Medium
CUST_00049,44,Male,Retired,$50K–$100K,4,Married,High School,North,621.3750424708568,11122.364167767051,20.27985886584765,10.97083431521836,29,No,Family Plan,0,1,Data-Only Plan,Night,154,7,UPI,Late by <5 Days,81.35666442775525,222,9,High,0,Medium
CUST_00050,29,Female,Unemployed,$50K–$100K,4,Married,Bachelor’s,West,999.8442619754137,11772.394231649429,158.154078675868,43.96674233168301,34,No,Family Plan,4,10,Voice-Data Plan,Night,232,2,Net Banking,Late by <5 Days,434.746484310492,654,5,High,1,Medium
CUST_00051,31,Male,Professional,$50K–$100K,4,Single,Bachelor’s,West,745.5957692338008,15232.916765570997,83.52695070821945,24.962443183349748,4,Yes,Family Plan,2,7,Data-Only Plan,Afternoon,271,9,Debit Card,Late by >5 Days,453.00896013430867,972,3,High,9,High
CUST_00052,39,Female,Retired,$50K–$100K,2,Divorced,Master’s,West,731.2564544503942,13563.151647140548,129.29586448452923,1.7499327737763442,14,Yes,Family Plan,0,4,Data-Only Plan,Afternoon,129,5,Credit Card,On Time,33.64972673727451,825,7,High,3,Low
CUST_00053,19,Female,Retired,$50K–$100K,1,Married,Master’s,East,390.0847694825057,10810.384863944942,140.91027764229722,21.753643422846547,39,No,Postpaid,2,6,Voice-Data Plan,Afternoon,128,0,Credit Card,Late by >5 Days,276.67915084442984,276,8,High,2,High
CUST_00054,58,Female,Retired,>$100K,1,Divorced,High School,East,363.40616161071796,2365.375041840981,9.926841539854866,25.18234480251812,28,No,Family Plan,0,3,Voice Plan,Morning,318,1,Credit Card,Late by <5 Days,76.0953893903768,729,0,High,0,Medium
CUST_00055,18,Male,Student,<$50K,3,Divorced,PhD,West,848.0492228933267,3856.509972456317,125.75886946420488,53.27406697522328,7,No,Postpaid,2,7,Voice-Data Plan,Morning,249,5,Credit Card,On Time,291.8391515017677,632,5,Moderate,6,Medium
CUST_00056,51,Male,Unemployed,<$50K,5,Single,High School,West,297.7915085669533,9085.401315823983,19.393644159690023,7.263903102102417,33,No,Family Plan,2,5,Voice-Data Plan,Night,1,3,Debit Card,On Time,178.88823410117632,712,7,Low,6,Low
CUST_00057,30,Female,Retired,$50K–$100K,2,Single,PhD,East,482.1769687956973,4664.61721851433,82.6268185957981,20.15109638159938,25,No,Family Plan,2,7,Voice Plan,Night,240,9,Debit Card,Late by <5 Days,291.9070543663826,87,0,High,4,Low
CUST_00058,28,Female,Student,$50K–$100K,1,Married,Bachelor’s,South,229.15240714610275,13787.987812635643,191.07495182889338,9.241554209006777,38,No,Postpaid,1,2,Data-Only Plan,Morning,323,4,UPI,On Time,140.16823156890658,598,8,High,7,High
CUST_00059,25,Male,Student,<$50K,4,Married,Bachelor’s,North,928.6588103782613,1241.0962030730939,151.93483558713854,12.846324199071976,28,No,Corporate Plan,2,5,Voice-Data Plan,Evening,167,2,UPI,Late by <5 Days,248.03792123080976,844,3,Moderate,7,High
CUST_00060,53,Male,Retired,<$50K,1,Single,Bachelor’s,South,348.14181635439166,12018.094234084267,122.67712420203016,33.484293409811585,48,No,Corporate Plan,4,5,Voice Plan,Morning,125,9,UPI,On Time,216.8758922033032,602,8,Low,0,Low
CUST_00061,47,Male,Student,<$50K,5,Single,High School,East,157.3608420509363,18102.490115271852,151.41159640214644,36.85430682451337,37,Yes,Corporate Plan,2,10,Voice-Data Plan,Evening,147,9,Debit Card,On Time,128.86618554960594,453,2,Low,2,Low
CUST_00062,64,Male,Retired,<$50K,3,Married,Bachelor’s,South,726.3336440569725,18653.132010984405,107.46733362766206,49.07334494603812,4,No,Prepaid,2,3,Voice-Data Plan,Afternoon,258,2,Debit Card,Late by <5 Days,442.80804185719785,109,5,High,9,Low
CUST_00063,30,Male,Professional,<$50K,5,Single,Master’s,North,159.2318313678459,4461.4427798085035,65.43809771870801,24.437345275466615,8,No,Family Plan,3,1,Voice-Data Plan,Night,235,5,Net Banking,Late by <5 Days,496.06162182079856,207,9,Low,4,Medium
CUST_00064,43,Female,Student,<$50K,5,Divorced,Bachelor’s,North,878.1755760606933,19672.382000568756,1.5808285167582974,17.072608305607773,21,No,Prepaid,1,3,Data-Only Plan,Evening,135,1,Net Banking,On Time,181.59967788390975,746,6,Low,2,Low
CUST_00065,47,Female,Unemployed,$50K–$100K,3,Single,PhD,South,130.779842253337,6407.085597391788,194.58652811512366,6.14481664125031,15,Yes,Prepaid,0,5,Voice-Data Plan,Evening,314,9,Credit Card,On Time,148.03456908176182,591,1,Low,3,High
CUST_00066,37,Male,Retired,$50K–$100K,2,Divorced,Bachelor’s,West,953.86752230973,7959.510274369229,85.70094466625292,56.49547073915752,6,No,Postpaid,3,10,Voice-Data Plan,Morning,201,0,Debit Card,Late by >5 Days,486.3884380025463,67,5,High,0,High
CUST_00067,48,Male,Professional,<$50K,1,Single,High School,North,860.2679587788871,11070.67772589579,150.0835931795893,13.78213133283441,38,No,Postpaid,1,7,Voice-Data Plan,Night,72,4,Debit Card,Late by <5 Days,9.77645150006773,168,2,High,0,Medium
CUST_00068,42,Female,Professional,$50K–$100K,5,Married,High School,North,547.7723100516874,7670.737259945138,181.7813482633699,46.242689977227606,34,Yes,Family Plan,3,10,Voice Plan,Morning,25,3,Net Banking,Late by <5 Days,300.3666194413287,122,3,Moderate,3,Low
CUST_00069,36,Male,Unemployed,$50K–$100K,5,Single,High School,East,113.53910786657568,8772.857074368887,187.8661309461829,9.865944563424835,20,Yes,Corporate Plan,0,5,Voice Plan,Afternoon,174,0,Credit Card,Late by <5 Days,239.22300050854435,631,7,Low,7,Medium
CUST_00070,40,Male,Retired,>$100K,2,Married,Bachelor’s,West,60.28731255964074,14140.060585933672,60.30374490726911,18.047173153681683,6,No,Postpaid,3,4,Voice-Data Plan,Night,94,8,Credit Card,On Time,222.35767319840883,297,3,High,4,Low
CUST_00071,20,Male,Student,$50K–$100K,5,Divorced,High School,West,515.976696180528,10375.642611948668,196.18845090525136,45.226589731865936,37,Yes,Postpaid,0,6,Voice-Data Plan,Evening,147,0,UPI,Late by >5 Days,367.4476835262808,644,3,High,9,High
CUST_00072,46,Female,Unemployed,<$50K,3,Divorced,High School,North,895.1905737376763,7869.883727954398,29.994897063801105,57.409614258422046,29,No,Family Plan,0,7,Voice Plan,Night,44,1,Debit Card,Late by >5 Days,97.58934143950681,665,0,Moderate,6,Low
CUST_00073,48,Female,Retired,$50K–$100K,4,Single,PhD,South,218.35137854533895,7585.0734670740285,93.29222733099556,3.8916459768543064,19,No,Prepaid,2,6,Voice-Data Plan,Night,136,1,Net Banking,On Time,357.68383618622437,27,5,Low,2,Medium
CUST_00074,40,Male,Unemployed,$50K–$100K,2,Divorced,PhD,North,108.659259001899,1303.5031340966063,72.8172087786949,57.185015180523465,19,No,Family Plan,1,5,Voice-Data Plan,Night,175,3,Net Banking,Late by >5 Days,243.39606010094477,13,8,High,9,High
CUST_00075,64,Female,Professional,$50K–$100K,3,Divorced,Bachelor’s,South,677.0603273835986,19520.041497959355,103.65149672234489,21.570260508696077,8,No,Postpaid,3,8,Voice-Data Plan,Afternoon,198,5,Net Banking,Late by >5 Days,317.61500234619047,961,4,High,6,Low
CUST_00076,51,Male,Professional,<$50K,4,Divorced,Master’s,West,131.46957614102877,19166.025741271114,39.868153680754126,44.651912027512644,31,Yes,Corporate Plan,0,8,Voice-Data Plan,Evening,82,9,Debit Card,Late by <5 Days,135.02334799636617,395,6,Moderate,5,Low
CUST_00077,54,Female,Unemployed,<$50K,2,Single,Bachelor’s,South,298.44770683126177,9792.82607446983,41.31413831922222,51.43009585392638,8,Yes,Corporate Plan,3,7,Data-Only Plan,Night,348,8,Debit Card,Late by >5 Days,442.08332836405776,355,6,Moderate,0,Low
CUST_00078,23,Male,Unemployed,>$100K,5,Single,Bachelor’s,South,317.66299062667366,15868.000803854962,52.45559626988106,48.189147068299114,14,No,Corporate Plan,0,2,Voice-Data Plan,Evening,98,9,UPI,On Time,29.446233726328984,134,4,High,7,Low
CUST_00079,37,Female,Student,<$50K,1,Divorced,High School,South,168.55056201750256,7520.021379422758,87.79297215160636,4.43584478808664,49,No,Postpaid,4,5,Voice Plan,Evening,30,9,Debit Card,Late by >5 Days,267.17988283625897,316,6,Low,5,High
CUST_00080,60,Female,Professional,$50K–$100K,2,Divorced,PhD,South,817.5806259880328,11241.57146292157,39.710025625237236,15.406360881761623,29,No,Family Plan,3,10,Voice Plan,Afternoon,174,6,UPI,On Time,36.78382808483172,808,9,High,5,Medium
CUST_00081,37,Male,Student,$50K–$100K,5,Single,PhD,East,435.06429457017686,3944.931036068711,153.81833267938018,58.47294459047038,9,Yes,Prepaid,3,6,Voice-Data Plan,Evening,129,7,Credit Card,Late by <5 Days,456.29985343291526,165,6,High,3,Medium
CUST_00082,24,Female,Professional,$50K–$100K,4,Married,Bachelor’s,North,990.0468969608962,3696.536978869428,173.83697372071066,30.426781576894776,27,Yes,Corporate Plan,4,7,Voice-Data Plan,Afternoon,60,8,UPI,On Time,475.2919606017062,347,0,High,7,Low
CUST_00083,58,Female,Retired,<$50K,2,Married,Master’s,North,949.2192737116148,7289.599511555205,123.03016965666649,49.426698361691415,3,Yes,Postpaid,3,8,Data-Only Plan,Night,59,7,Net Banking,Late by >5 Days,158.86730448773417,947,8,High,4,High
CUST_00084,55,Female,Student,<$50K,1,Divorced,Bachelor’s,East,844.1161755705266,9773.563639350004,144.3804297351849,40.2971988907295,37,No,Postpaid,2,7,Voice-Data Plan,Evening,96,7,Credit Card,On Time,77.47426881888609,220,4,Moderate,7,Medium
CUST_00085,39,Female,Professional,$50K–$100K,3,Single,PhD,East,878.3039011374306,19530.414516801648,164.71803575595953,55.66316986639312,47,No,Family Plan,0,6,Data-Only Plan,Afternoon,239,2,Credit Card,Late by <5 Days,123.93787135988433,518,2,Moderate,1,Low
CUST_00086,55,Male,Professional,<$50K,1,Divorced,High School,South,721.8566253951503,3309.732313721628,165.02219337122983,41.73487250915863,18,No,Corporate Plan,1,9,Voice-Data Plan,Afternoon,103,0,UPI,Late by >5 Days,457.25054918869483,680,6,Low,3,Low
CUST_00087,37,Male,Student,$50K–$100K,2,Divorced,High School,South,421.06709792226604,2104.3459110726226,8.941513398943112,5.2813442739428,28,No,Corporate Plan,3,2,Voice-Data Plan,Evening,321,3,Debit Card,Late by <5 Days,481.8842420800698,813,7,Moderate,6,Medium
CUST_00088,58,Female,Retired,$50K–$100K,3,Single,Master’s,East,862.0908612651662,1883.0305430174399,33.71408359458714,53.17486267151511,19,No,Prepaid,0,5,Data-Only Plan,Evening,359,5,UPI,Late by >5 Days,115.99335343359185,177,1,Low,4,Medium
CUST_00089,27,Male,Retired,<$50K,3,Married,High School,East,337.85654303842665,1105.6080572390986,12.201756380364877,3.435002782968532,41,No,Corporate Plan,3,4,Voice Plan,Morning,179,7,UPI,Late by <5 Days,302.35244740849055,725,7,Moderate,2,Medium
CUST_00090,18,Male,Unemployed,<$50K,3,Single,Master’s,East,354.72107277147745,11268.193233108086,70.19821065621323,54.13276371486275,47,No,Postpaid,0,3,Data-Only Plan,Afternoon,114,4,UPI,On Time,119.93149003647879,328,8,Moderate,8,Low
CUST_00091,19,Male,Retired,$50K–$100K,2,Single,PhD,South,656.2263155274865,18128.271718904303,8.144757036921613,44.834587439015316,32,No,Corporate Plan,1,6,Data-Only Plan,Morning,106,2,Credit Card,On Time,204.6156006391422,682,3,Low,8,High
CUST_00092,39,Male,Professional,<$50K,2,Married,Bachelor’s,East,362.73819756238333,6996.01157075656,34.916386248076975,11.567081729235294,39,No,Corporate Plan,0,2,Data-Only Plan,Evening,164,7,Net Banking,Late by <5 Days,289.14260937132724,684,2,Moderate,0,High
CUST_00093,43,Male,Student,$50K–$100K,1,Divorced,Master’s,West,537.9313015598375,4999.207473617542,34.59480813903911,39.69153483993806,15,No,Corporate Plan,3,9,Voice-Data Plan,Morning,120,4,Net Banking,On Time,239.0626903263313,690,2,High,1,Medium
CUST_00094,37,Female,Retired,$50K–$100K,3,Married,Master’s,West,138.4986993204036,6132.251917366153,104.33454803179826,45.98272812399476,39,No,Family Plan,2,5,Voice-Data Plan,Morning,99,7,Credit Card,Late by >5 Days,161.57397652113565,365,8,High,5,High
CUST_00095,51,Male,Professional,<$50K,3,Married,PhD,East,419.2773083712367,3918.7205991767505,60.968945876007375,25.216047821261494,46,No,Corporate Plan,4,8,Voice Plan,Evening,105,1,Net Banking,Late by >5 Days,440.2051596736126,27,2,High,1,Low
CUST_00096,49,Female,Student,<$50K,4,Married,Bachelor’s,West,758.7239858956525,5863.236944392092,167.9894920859932,18.566783075343277,31,Yes,Family Plan,1,6,Voice-Data Plan,Evening,290,3,Credit Card,Late by <5 Days,263.5186116490865,459,8,Low,2,Medium
CUST_00097,47,Female,Professional,$50K–$100K,2,Single,PhD,South,932.212762029929,2212.1993712572194,36.30371660483357,29.4665777618501,38,No,Prepaid,4,4,Data-Only Plan,Morning,220,3,Credit Card,Late by <5 Days,208.5727050153957,925,4,Moderate,9,High
CUST_00098,57,Female,Professional,<$50K,4,Single,Bachelor’s,North,65.78429552305805,19251.563818485705,102.99417336194035,7.47529597315255,21,No,Family Plan,1,1,Voice Plan,Evening,317,2,Debit Card,On Time,244.05151058679604,302,5,Moderate,0,Medium
CUST_00099,34,Female,Student,<$50K,4,Single,Master’s,South,573.4451330597986,6004.538965564412,184.24394597085012,8.080336562855528,6,No,Corporate Plan,4,2,Voice Plan,Morning,174,5,Credit Card,Late by >5 Days,117.2315871700365,148,8,Moderate,1,Medium
CUST_00100,46,Male,Student,$50K–$100K,5,Married,Bachelor’s,North,360.2022601561867,6184.091607152013,155.12688900559166,25.718211771981096,34,No,Corporate Plan,4,5,Voice-Data Plan,Night,276,8,Net Banking,Late by >5 Days,11.541402726106764,473,7,Low,6,Medium
CUST_00101,35,Male,Student,<$50K,5,Married,Master’s,South,197.1794529402914,8196.145993650976,83.81029476367272,7.395477620223767,24,No,Postpaid,3,10,Voice-Data Plan,Afternoon,31,3,Credit Card,Late by >5 Days,19.476626952535437,273,0,High,3,Low
